TIC_ID|GDR2_ID|GDR2_RA|GDR2_DEC|TLC|mas_parrallax|g_mag|bp-rp|probability|age_myr|age_err_lower|age_err_upper|Distance|absolute_mag|cadences|tic_id_corrected|ecl_lat|ecl_lon|gal_lat|gal_lon
TIC_437357930|6137297713805134848|197.8707|-42.8784|22|10.09|12.6|2.1|0.17|16.5|15.3|2.2|99.10802775|7.619455831189981|120,600,1800|258908663|-32.33346701040646|214.36446574200275|19.841427901499976|306.8339436392603
TIC_237977137|5496780273059907584|99.528|-56.0814|22|11.7|13.1|2.6|0.45|14.9|4.4|2.8|85.47008547|8.44092930873298|120,600,1800|278731274|-78.59634475523495|117.84662537086727|-24.032186992975088|265.34651961157505
TIC_155904976|5819367535732144128|243.5173|-69.7275|22|12.67|15.9|3.7|0.99|21.9|3.9|4.1|78.92659826|11.41388307451666|1800|361571108|-47.500823889408444|256.7753720079522|-13.429462892544818|318.9234850857669
TIC_205794251|5341341180412323840|178.736|-59.9466|22|11.69|15.1|3.2|0.31|31.6|5.3|6.0|85.54319932|10.439072555698887|120,600,1800|375729536|-52.98988781222182|213.7157871360949|2.1524407157929364|295.9076770772113
TIC_96865470|2916409310839890176|89.9213|-23.3193|-1|13.86|13.4|2.8|0.77|16.6|6.0|4.3|72.15007215|9.108816151381111|600,1800|123727458|-46.75855252966321|89.89064405247446|-21.314916589833533|229.04510680973047
TIC_470730291|4827811319679831936|78.1489|-30.6852|-1|19.06|15.6|3.9|0.98|30.0|3.6|10.5|52.46589717|12.000614481380817|120,600,1800|77842052|-53.41759408204944|72.7580467632837|-33.54911852337687|233.31340499075674
TIC_323246065|5209009149172296960|129.0439|-79.1383|22|10.15|15.5|3.8|1.0|4.8|1.9|1.3|98.52216749|10.532330211195127|600,1800|323172964|-73.58934790964823|245.1520562469771|-21.950873132060853|292.42710174454396
TIC_355233294|6399670771926369152|321.961|-68.6846|-1|19.92|13.6|3.2|0.29|21.6|4.9|4.5|50.20080321|10.09644667056174|120,600,1800|344552743|-49.96243519208474|296.4221362524088|-38.96381943395273|324.2038130834453
TIC_29109914|6127918089350574848|192.4434|-47.9756|22|10.05|13.8|2.8|0.78|13.8|5.1|2.6|99.50248756|8.810830308830312|120,600,1800|165909066|-38.62213951281064|213.19952532401112|14.895216176377366|302.64369932242226
TIC_418424364|324316107257842432|34.0108|30.7323|-1|25.12|12.7|2.9|0.14|29.2|51.1|11.8|39.8089172|9.700098175186817|120,1800|63777591|16.117540286903225|42.12204478989504|-28.714406849558223|143.64255501710045
TIC_268148425|64129019988396160|56.9991|22.6416|18|12.89|15.2|3.3|0.49|29.6|10.6|7.1|77.57951901|10.751264586682543|120|440685559|2.596889094188121|59.784648922704676|-24.45218355652476|167.8477249749493
TIC_320328617|5682759950478318720|138.855|-16.9373|-1|12.99|14.9|3.1|0.25|32.8|22.4|3.7|76.98229407|10.468045755431804|600,1800|307934205|-31.17521961517458|147.34526811530952|21.5638387975978|246.60475564941672
TIC_49742302|5844952827734654720|194.5726|-69.1061|22|10.61|15.0|3.3|1.0|10.1|1.9|3.1|94.25070688|10.128576919513652|120,1800|335370623|-55.230927745354805|232.74811691659332|-6.242529217771543|303.5464551405738
TIC_369472794|2581708281894978176|12.5733|8.626|-1|16.43|12.9|3.0|1.0|5.5|2.3|2.2|60.86427267|8.97818781724458|120|266011945|2.980471528276897|14.916393338780821|-54.244671334540655|122.44770347073107
TIC_59276613|3347403678354726400|85.3458|14.0701|-1|12.13|16.1|3.5|0.31|43.7|7.2|6.0|82.44023083|11.51930400440257|No TESS data found|59276613|-9.295307049301035|85.42166457895213|-8.565411184544402|192.23591098825213
