TIC_ID,GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance,absolute_mag
TIC_49587748,5871845576506673792,207.7381,-56.8532,22,13.09,14.5,3.0,0.21,26.5,19.4,8.4,76.39419404,10.08469823278939
TIC_341487412,154779286930692352,71.8378,28.1478,-1,16.06,12.7,2.7,1.0,11.5,4.6,3.4,62.26650062,8.728727704806248
TIC_93547852,127661138301191168,38.2062,27.611,-1,10.6,14.7,2.9,0.17,28.2,25.4,7.4,94.33962264,9.826529326358594
TIC_376748409,5228256272024062336,169.646,-70.9821,22,10.75,14.5,3.0,0.99,13.8,2.5,2.7,93.02325581,9.657042321350408
TIC_396167588,1565853133757724160,201.7926,56.9065,-1,11.27,14.0,2.8,0.36,19.6,4.9,4.4,88.73114463,9.259619580273744
TIC_287554773,5972489476405357568,261.1338,-39.0316,22,10.16,12.7,2.2,0.19,16.2,2.8,3.7,98.42519685,7.734468539748187
TIC_253422827,1701943978599634816,226.9861,76.2338,-1,33.64,12.4,3.1,0.92,24.8,6.8,3.5,29.72651605,10.034279935798748
TIC_357734433,390345804892571392,11.8545,48.0576,-1,10.59,14.4,3.2,1.0,9.0,2.5,2.7,94.42870633,9.524479800462077
TIC_410706283,175329120598595200,70.9871,37.384,-1,13.96,12.3,2.4,0.26,20.2,53.5,3.8,71.63323782,8.024427091506936
TIC_419858259,175329124894814976,70.9898,37.3839,-1,13.82,16.2,3.9,0.98,24.5,4.4,5.5,72.35890014,11.902540215332476
TIC_57151429,6044583869705521920,250.0052,-27.3185,22,10.78,15.3,3.2,0.55,25.2,5.8,5.3,92.76437848,10.463093804222332
TIC_176050598,5399220743767211264,170.3223,-34.7806,22,16.67,10.9,2.1,1.0,6.6,40.7,4.8,59.9880024,7.009677999122655
TIC_98530094,5373879131054418688,170.9266,-47.1804,22,11.31,16.3,3.7,0.94,29.3,9.7,7.8,88.41732979999999,11.56731302454476
TIC_284865356,121875095799134848,48.4524,29.1236,18,11.73,12.8,2.3,0.17,18.5,8.7,3.9,85.2514919,8.146490060605876
TIC_71511834,877953029689466624,120.1662,31.2502,-1,12.86,13.5,2.7,0.67,20.3,6.4,4.4,77.76049767,9.046204842862409
TIC_71056912,6140491142248460160,193.5692,-39.9952,22,10.69,14.4,2.8,0.15,27.4,21.4,8.2,93.5453695,9.544888526141609
TIC_160377026,146163067140632576,66.5052,23.221,18,11.13,13.5,2.8,1.0,12.1,3.7,4.3,89.84725966,8.732475821639232
TIC_67760484,6237738822557503488,234.1571,-25.7214,22,10.88,13.9,2.7,0.41,19.7,6.4,4.2,91.91176471,9.083144476713525
TIC_253863982,16059230612648320,50.0026,10.5461,-1,11.4,14.6,3.1,0.94,16.3,4.7,5.7,87.71929825,9.884524256573789
TIC_323930904,6729196468361685760,283.5878,-38.4216,-1,12.22,14.7,3.1,0.19,29.6,16.1,5.9,81.83306056,10.135356029438867
TIC_307547057,5233432944572581760,178.0494,-70.6989,22,10.12,16.2,3.6,0.71,30.0,7.9,5.7,98.81422925,11.225902562497186
TIC_468136398,4510540333194083584,282.5348,15.6224,-1,13.31,13.3,2.7,0.14,23.8,28.4,5.4,75.13148009,8.920890277377936
TIC_392119088,5536728004403941888,115.5167,-40.7202,-1,12.01,14.4,2.8,0.2,29.6,27.5,9.3,83.26394671,9.797715037042542
TIC_237948290,5260885172921947008,103.4526,-75.7038,-1,10.95,14.5,2.9,0.4,21.4,8.4,5.5,91.32420091,9.697070595957774
TIC_237977137,5496780273059907584,99.528,-56.0814,22,11.7,13.1,2.6,0.45,14.9,4.4,2.8,85.47008547,8.44092930873298
TIC_253782889,207585153923158656,79.4626,44.0414,-1,10.74,15.9,3.4,0.49,32.1,6.1,7.3,93.10986965,11.055021406728654
TIC_49032600,5467096104810463616,151.202,-26.3404,-1,10.68,14.6,2.9,0.29,24.5,12.5,6.8,93.6329588,9.742856263497432
TIC_49170434,4109766661272060288,261.7846,-25.9697,22,10.04,14.3,2.8,0.84,15.3,3.2,5.7,99.60159363,9.308668563946853
TIC_328767481,1408048751038565248,255.0936,47.5623,-1,11.24,14.6,2.9,0.17,28.1,17.8,5.1,88.96797153,9.853831556171292
TIC_320036783,4174845169631404288,267.1761,-6.9421,-1,10.25,14.6,2.9,0.16,27.0,36.6,8.6,97.56097561,9.653619326953436
TIC_392395708,6225090006439709696,226.2325,-26.2249,22,10.0,14.7,3.0,1.0,14.7,2.1,3.0,100.0,9.7
TIC_98687417,6210378403414176128,233.685,-28.0048,22,10.85,16.4,3.6,0.23,45.9,11.4,10.1,92.16589862,11.57714869086411
TIC_9530924,6609339182550866688,342.2842,-28.8566,-1,29.21,12.5,3.0,0.62,26.1,20.3,8.4,34.23485108,9.827657784766124
TIC_167425181,5483838986842111616,104.994,-58.0035,22,10.84,15.2,3.1,0.22,33.5,15.8,9.6,92.25092251,10.3751464109936
TIC_214781107,4359521174154055296,259.07,-9.2001,-1,11.51,14.3,2.9,0.45,20.6,8.3,6.0,86.88097307,9.60537661807144
TIC_234464131,4359498943403375872,258.8048,-9.2993,-1,10.68,13.7,2.7,0.94,13.4,4.0,2.7,93.6329588,8.842856263497431
TIC_329608600,5303566187102489344,137.1558,-58.531000000000006,22,10.21,13.2,2.4,0.22,22.3,42.3,5.8,97.94319295,8.245128710392207
TIC_273951398,5335090216297084416,179.63299999999998,-61.6174,22,12.88,14.0,2.9,0.44,21.2,9.7,5.6,77.63975155,9.54957931519714
TIC_253551040,5875591509559619456,231.6694,-61.1824,22,10.01,13.4,2.5,0.15,22.0,22.0,2.7,99.9000999,8.402170387398765
TIC_100114114,6728469996119674112,280.775,-40.9683,22,17.0,12.1,2.5,0.31,15.9,12.5,4.2,58.82352941,8.252244606956515
TIC_29509219,5396105586807802880,170.2725,-38.7546,22,15.27,11.7,2.3,0.68,10.2,2.9,1.3,65.48788474,7.619195185325969
TIC_317280723,3395900387476790912,85.5697,15.6621,18,10.52,16.7,4.0,0.99,19.2,5.2,2.8,95.05703422,11.81007869910076
TIC_317479592,5331636650228050048,133.0947,-44.2987,-1,10.37,14.5,3.0,1.0,13.2,2.8,3.4,96.43201543,9.578893781925444
TIC_48910953,5523964907785816448,131.1626,-43.8919,-1,14.13,14.8,3.4,1.0,16.4,2.1,5.3,70.77140835,10.55071080927428
TIC_176721578,6215391076932317184,219.305,-34.1559,22,10.07,13.6,2.7,1.0,11.3,4.4,3.0,99.30486594,8.61514735273378
TIC_102192898,5467714064704570112,157.1905,-28.5105,-1,16.29,14.6,3.5,1.0,14.6,2.7,3.5,61.38735421,10.659605421366876
TIC_392395286,6049215631146064256,245.731,-24.8483,-1,12.04,13.3,2.6,0.51,21.2,19.6,4.2,83.05647841,8.703132434486559
TIC_392043910,6090351247365243392,208.0794,-51.3995,22,10.23,16.6,3.6,0.31,43.5,8.2,6.4,97.75171065,11.64937816867046
TIC_199743318,5534516955242365056,121.7044,-40.5594,-1,11.34,14.7,3.1,0.73,21.1,5.1,4.9,88.18342152,9.973065272704527
TIC_173878300,2051425982875376896,292.8016,36.1245,-1,25.03,12.7,3.0,0.95,21.3,8.8,4.3,39.95205753,9.692304248093448
TIC_118696217,139680930696941184,42.4813,33.7522,-1,12.17,13.3,2.6,0.58,16.2,18.0,3.0,82.16926869,8.726452891243047
TIC_254990430,5300961615845927936,131.083,-61.9784,22,10.77,15.9,3.3,0.2,42.2,23.3,11.6,92.85051068,11.06107851643866
TIC_23075234,520747471631407232,35.401,68.1824,-1,11.58,16.3,3.6,0.53,41.0,6.0,6.5,86.35578584,11.618542796898025
TIC_347495133,5824338256022812416,228.1479,-67.1916,22,10.02,14.3,2.9,1.0,13.9,2.1,4.5,99.80039920000002,9.30433860769088
TIC_171088791,3292674799886039936,70.4769,9.3314,18,11.34,14.7,3.1,1.0,16.4,4.1,5.3,88.18342152,9.973065272704527
TIC_414503074,6070064325817708416,201.8925,-51.2371,22,10.0,12.9,2.5,0.88,10.7,4.0,2.6,100.0,7.9
TIC_204872581,5400050222210919680,165.9648,-37.1968,-1,11.77,15.9,3.4,0.27,39.8,14.2,9.2,84.9617672,11.253882314338776
