DR2Name,RA_ICRS,DE_ICRS,Plx,Gmag,BPmag,RPmag,BP-RP
GaiaDR299471443102592,044.73937808387,+00.73819914432,-0.4889,20.2849,20.8942,18.9446,1.9496
GaiaDR299475738307840,044.73429839606,+00.74195278999,4.8428,16.4216,17.8989,15.2299,2.6690
GaiaDR299505802621312,044.78210808113,+00.71369298974,0.9491,18.7481,20.1637,17.5172,2.6466
GaiaDR299505802832512,044.78100619312,+00.71513104430,2.4226,18.7020,20.0621,17.4623,2.5998
GaiaDR299505802832896,044.78901628354,+00.71694126231,3.4788,19.9003,20.7253,18.5593,2.1660
GaiaDR299510098046080,044.77958666546,+00.72419905768,0.3032,18.5968,19.1985,17.7473,1.4512
GaiaDR299608881845248,044.78954689470,+00.73660075660,0.6187,17.9025,18.5193,17.0989,1.4204
GaiaDR299746320805504,044.79791386960,+00.75264847033,,20.0690,19.8390,18.2892,1.5498
GaiaDR299750616062336,044.79989599884,+00.75638475617,,20.8203,20.8949,20.0772,0.8177
GaiaDR299784975952896,044.75502481659,+00.73781571103,0.4260,17.1290,17.4879,16.6022,0.8857
GaiaDR299956774643712,044.78179729875,+00.76345283983,,19.5214,18.8673,17.2893,1.5779
GaiaDR2100021199428480,044.78187029071,+00.77435420244,,20.9129,20.9484,19.6900,1.2584
GaiaDR2100089918388736,044.71201664093,+00.72833607370,1.5799,20.0360,20.8568,18.7774,2.0794
GaiaDR2100089918864640,044.69682811274,+00.73043305894,-0.4655,20.3174,21.0794,19.2259,1.8534
GaiaDR2100192997396992,044.71233813149,+00.73454773293,0.6398,18.1519,18.6710,17.4550,1.2160
GaiaDR2100231652582528,044.72097923369,+00.74075689055,1.0371,15.7584,16.2685,15.1048,1.1637
GaiaDR2100231652552192,044.71643068965,+00.74498696718,1.9406,15.7264,16.4882,14.8768,1.6115
GaiaDR2100261717555584,044.70984060807,+00.74922103481,2.6946,20.4520,22.0550,19.0201,3.0349
