GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance
3232014537223880000,  74.6218,  2.0377,-1,3.43,15.0 ,2.4,0.79,  7.7,  4.5 ,1.6 ,291.5451895
5558117800527090000,106.258,-45.487,-1,3.05,13.3 ,1.5,0.56,     ,     ,     ,327.8688525
6833883513055810000,317.9223,-18.1917,-1,3.67,15.1 ,2.3,0.14,17.9,  1.5 ,3.3 ,272.479564
5969497018099100000,250.5018,-39.0911,22,6.24,17.0 ,3.4,0.59,30.5,  9.1 ,7.0 ,160.2564103
6111675382030630000,203.9084,-43.9432,22,7.94,16.9 ,3.6,0.27,41.5 ,15.2 ,4.7 ,125.9445844
5973119084238370000,257.8991,-38.8194,-1,4.07,15.7 ,2.6,0.13,21.7 ,28.3 ,1.8 ,245.7002457
5345273648130810000,175.8434,-53.4532,22,8.88,15.4 ,3.2,0.55,23.6,  6.3 ,5.4 ,112.6126126
6017869825978980000,248.5249,-38.0968,22,5.8,15.3 ,3.1,1,  7.5,  2.9 ,3.2 ,172.4137931
5969499698135280000,250.3845,-39.102,22,5.87,15.1 ,3.1,1,  4.9,  1.3 ,2.2 ,170.3577513
5558102403067730000,105.757,-45.6926,-1,3.88,17.7 ,3.2,0.16,39.2 ,25.0 ,8.0 ,257.7319588
5889928488315600000,229.8646,-51.0765,-1,5.04,15.3 ,2.8,0.95,12.1,  3.7 ,4.2 ,198.4126984
